date,smer,ps,hlas,sns,sas,kdh,olano,republika,lsns,sme_rodina,demokrati,madarska_aliancia,za_ludi
2020-02-06,17.3,,,5.1,5.8,,11.8,,,6.4,,,9.5
2020-02-13,16.9,,,5,6.1,5.3,10.3,,10.3,7.2,,,8.9
2020-07-17,10.7,5.2,16.7,1.4,9.4,3,23.5,,7.9,6.4,,,4
2020-12-19,9,6.5,22.8,1.6,16.2,4.7,14.2,,5.7,5.7,,,4.7
2021-02-11,8.5,7.2,25,2.3,15.1,4.9,13.8,,3.8,5.1,,,5.4
2021-03-12,8.7,8,24.9,3,14.3,5.2,13.1,0.3,4.3,5.9,,,4.3
2021-04-17,9.2,8.3,23.9,3.3,13.8,4.5,10,3.1,2.9,7.4,,4.2,4.3
2021-05-17,9.6,8.5,22.5,1.6,13.8,5,9.9,3.5,2.1,7.4,,5.3,4
2021-06-11,10.6,8.3,21,3.1,13.9,5.3,9,2.8,3,7.8,,5.2,3.6
2021-07-12,10.9,8.4,20.8,3.4,13.8,6.2,8.8,3.8,3.5,7.8,,4.3,3.1
2021-08-15,11.3,8.9,19.5,3.5,14.7,6.3,9.8,4.5,3.9,6.6,,3.3,3
2021-09-13,13.9,8.7,18.8,3.5,14.5,6.6,9.9,5.2,2.7,6.8,,3.8,1.7
2021-10-07,13.8,8.6,18.2,3.6,14.5,5.9,9.2,5,2.3,7.4,,4.5,2.1
2021-11-16,13,8.7,18.5,3.6,13.6,5.4,9.7,5.6,3.5,6.8,,4.2,2.2
2021-12-13,13.7,8.6,19,3.6,13.9,6,9,5.9,3.4,6.5,,3.7,2.4
2022-01-17,13.8,8.5,18,3.6,14.2,6,9.3,6.2,2.9,6.5,,4,2.2
2022-02-14,14.5,8.7,17.5,3.8,14.2,7.2,5.9,6.9,2.5,6.9,,4.1,2.3
2022-03-11,14,8.9,18,3.9,14.7,7.4,9.4,5.7,1.8,6.2,,3,2.6
2022-04-11,14.5,8.7,18.9,3.9,14,6.5,11.9,6.2,3,6.6,,2.6,2
2022-05-16,13.5,9.7,18.2,4,14.3,7.7,10.7,6.2,1.1,6.1,,2.4,2.1
2022-06-10,14.8,9.9,20.2,4.2,14.3,7.3,8.5,5.2,1.8,5.7,,1.9,2.2
2022-07-14,14.6,9.8,20,4.1,14.7,7.2,9.2,5.4,1.5,6,,1.1,2.2
2022-08-19,14.9,9.9,19.2,4.1,13.1,6.9,8.4,5.3,2.1,6.6,,2.5,2.1
2022-09-14,15,10,19.3,4.2,12.9,6.2,10.2,5.2,2.3,7.6,,2.7,2.3
