date,smer,ps,hlas,sns,sas,kdh,olano,republika,lsns,sme_rodina,demokrati,madarska_aliancia,za_ludi
2021-01-19,9.1,5.2,24.3,2.8,13.3,4.4,10.1,,9.7,5.1,,,4.2
2021-02-24,9.2,6.7,23,2.8,12.9,4.9,10.4,,6.6,5.2,,,5.2
2021-04-07,10.9,6.2,22.3,3.4,11.2,5.7,9.2,4.7,4.3,7.4,,5,4.8
2021-05-19,11.8,6.1,22.4,3.4,12.3,5.7,8.8,4.5,4.9,7.2,,4.8,3.5
2021-06-09,12,6.3,21.6,3.2,12.8,5.8,8.2,4.6,4.8,7.6,,5.7,3.4
2021-09-07,14.4,7,18.5,3.6,11.7,6.1,8.2,6.8,4.6,6.7,,5.5,2.2
2021-10-27,15.5,6.9,19.3,3.3,12.2,6.1,8.4,5.5,3.8,6.3,,5.2,2.8
2021-11-23,15,7.7,19.2,3.6,11.5,6.1,7.9,6.8,4.8,6.1,,4.4,2.1
2022-01-26,16.3,8.3,17.8,3.9,11.1,5.8,8,7.8,4.3,6.1,,4.4,3
2022-03-01,15.6,8.1,18.5,3.8,12,6,7.8,7,3.8,6.3,,4.6,2.7
2022-04-06,15.1,7.3,19,3.6,10.3,6.3,8.1,6.9,4.5,7.5,,4.4,2.5
2022-05-31,14.9,9.1,20.3,3.7,11.1,6.5,8.1,6.8,2.8,5.6,,3.7,3.1
2022-06-27,14.4,9.1,20.5,4,9.6,6.7,7.1,6.8,3.3,7.6,,4.1,2.1
2022-09-27,15.3,9.6,20.3,3.9,8.2,6.2,7.2,7.8,2.9,7,,4.6,2.4
2022-11-08,15.6,10.2,19.4,3.8,8.1,6.9,7,7.2,3.5,6.6,,5.6,2
2022-12-07,15.8,10.3,19.9,3.7,7.7,6,7,7.9,3,7.3,,5.1,2.7
2022-12-20,16.6,12.8,19,3.4,5.6,5.9,7.4,6.9,3.1,8.2,,4.4,2.2
2023-02-08,14.6,11,20.8,3.6,5.3,6.9,6.4,8.5,2.9,7.7,,4.5,1
2023-03-22,17.6,12.1,17.1,3.4,5.1,5.8,4.3,9.6,2.7,7.7,5,4.7,1.2
2023-04-26,17.7,13.1,17,4,5.2,6,5.6,9.8,2.7,6.1,3.6,4.3,1
2023-05-31,18,12.5,17.4,4.7,5.3,5.5,5.3,9.7,2.5,6.6,3.2,4,1.1
2023-06-28,19,13.5,16.3,5.5,5,6,6,9,2.1,6.1,3.6,3.9,0.7
2023-07-26,18.1,14.3,16,5.1,5.2,5.6,2.3,8.7,2.3,5.6,3.8,4,
2023-08-16,20,15,14.2,5.3,6.1,6.1,2.1,8.8,2.1,5.1,3.1,3.4,
2023-09-13,18.9,16.5,14.6,6.4,5.1,6.2,1.8,8,1.8,4.9,3.7,3.6,
2023-09-26,18,16.6,13.7,6.4,5.8,6.5,1.7,7.7,1.7,4.1,4,3.5,
2023-11-22,23.8,17.9,14.6,5.8,6.4,7.5,6.4,5.3,1.2,2.8,2.9,5,
2024-01-23,21.6,19.4,17.9,5.7,5.5,6.2,6.5,4.8,1.7,2.4,3.5,4.6,
2024-02-21,21.1,18.9,17.2,5.8,6.2,6.1,5.9,4.2,2.7,2.6,3.5,5.4,
2024-04-02,21.6,20.1,17.9,5.1,5.4,6.3,6.4,4.6,1.9,1.8,3.7,5,
2024-04-24,21.1,19.7,18,5.3,7,6.9,5.2,5.5,0.9,2.3,3.5,4.5,
2024-06-12,24.2,21.6,14.5,4.7,6.1,6.6,4.1,7.3,,1.8,3.6,5.2,
2024-09-26,23.3,22.1,12.8,4.7,5.6,6,4.1,7.9,,3.2,5,5.2,
2024-11-13,21.9,22.6,13.3,3.6,6.7,6.2,3.6,8.6,,3.3,4.6,4.8,
2024-12-08,20.8,21.5,13.8,3.7,6.1,6.9,5.2,8.1,,2.2,4,5.6,0.9
2025-02-12,21.7,22.1,11.8,3.7,6.2,7.8,5.6,7.8,,2.6,4.6,4.6,0.6
2025-04-08,19.3,21,10.9,3.9,6.6,8.4,7.3,8.2,,2.9,4.3,4.7,0.8
2025-05-18,19.1,20.9,10.6,3.9,6.8,7.3,7.8,7.9,,3.2,4.6,4.6,1.1
2025-06-09,18.8,20.2,10.5,3.7,6.1,7.5,8.5,9.7,,3.4,4.8,4.8,0.8
2025-07-13,19.6,20.7,11.7,3.8,6.8,6.3,7.5,9.8,,2.5,4.6,4,0.7
2025-08-19,18.7,21.2,10.1,4,6.3,6.7,8.2,9.9,,2.6,4.8,4.6,1
2025-09-17,18.2,22,9.7,4.3,6.1,6.1,8.5,9.7,,3,5.1,4.3,0.4
2025-10-21,17,23.1,9.4,4.3,6.3,6.7,8.3,9.8,,2.8,5.2,4,0.4
2025-11-18,16.5,22.1,9.1,4.2,6.5,6.3,8.9,10,,2.1,5.2,4.6,0.6
2025-12-09,17.4,21.7,8.8,4.3,6.7,7.2,8.4,9.3,,2.3,5.5,4,0.7
2026-02-09,17.7,19.3,8.1,4.1,7.6,6.9,9.7,9.9,,2.3,5.6,4.7,0.8
